Keuwl Accelerometer Data File
2024-04-22 15:55:23
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.4784121,-0.816000,9.288000,2.320950,9.608310,76.021576,95.020844"
"0.4808041,-0.831000,9.322050,2.293050,9.635832,76.233170,95.094078"
"0.4831960,-0.844950,9.360001,2.298000,9.674934,76.259727,95.158249"
"0.4855883,-0.843000,9.367050,2.302050,9.682547,76.246071,95.142555"
"0.4879803,-0.898050,9.421950,2.302050,9.740589,76.329620,95.444679"
"0.4903724,-0.912000,9.397950,2.298000,9.717716,76.321396,95.542770"
"0.4927644,-0.895050,9.381001,2.302050,9.700707,76.272324,95.450150"
"0.4951564,-0.880950,9.400950,2.329050,9.725143,76.143707,95.353477"
"0.4975486,-0.867000,9.384001,2.347950,9.712056,76.009781,95.278648"
"0.4999407,-0.862050,9.340950,2.355000,9.671738,75.907211,95.272728"
"0.5023327,-0.855000,9.346050,2.359950,9.677244,75.885178,95.227013"
"0.5047247,-0.838050,9.340950,2.368950,9.673035,75.823929,95.126732"
"0.5071167,-0.840000,9.313951,2.368950,9.647134,75.785072,95.153412"
"0.5095089,-0.843000,9.313951,2.391000,9.652834,75.658592,95.171715"
"0.5119009,-0.856950,9.325951,2.350050,9.655592,75.913445,95.250092"
"0.5142930,-0.856950,9.325951,2.317050,9.647614,76.103531,95.250092"
"0.5166850,-0.844950,9.336000,2.331000,9.659628,76.035912,95.171440"
"0.5190772,-0.876000,9.316951,2.320950,9.641564,76.070763,95.371284"
"0.5214692,-0.867000,9.337951,2.332950,9.663937,76.030350,95.304527"
"0.5238612,-0.868950,9.334050,2.317050,9.656515,76.116600,95.318604"
"0.5262533,-0.843000,9.348001,2.295000,9.662442,76.259926,95.152977"
"0.5286453,-0.874050,9.357000,2.299950,9.675081,76.248047,95.336594"
"0.5310375,-0.864000,9.367050,2.307000,9.685575,76.220306,95.269951"
"0.5334295,-0.876000,9.372001,2.298000,9.689302,76.280502,95.339920"
"0.5358215,-0.874050,9.372001,2.295000,9.688416,76.297478,95.328094"
"0.5382136,-0.850050,9.364950,2.281050,9.676160,76.364799,95.186485"
"0.5406056,-0.856950,9.357000,2.290050,9.671202,76.302803,95.232773"
