Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.2507172,1.414830,9.621158,0.173541,9.726177,88.977631,81.634384
1.2556797,1.345379,9.651582,0.179699,9.746557,88.943565,82.064415
1.2606422,1.403500,9.685341,0.185541,9.788261,88.913864,81.754677
1.2656063,1.417904,9.591172,0.161896,9.696765,89.043350,81.590630
1.2705686,1.421600,9.608985,0.254590,9.716911,88.498642,81.584427
1.2755327,1.418737,9.635532,0.159320,9.740723,89.062828,81.623947
1.2804953,1.406086,9.623437,0.211983,9.727926,88.751358,81.687302
1.2854593,1.411650,9.611580,0.270976,9.718470,88.402237,81.644722
1.2904218,1.400962,9.586786,0.240081,9.691585,88.580521,81.685951
1.2953843,1.371006,9.644256,0.257674,9.744625,88.484772,81.909172
1.3003484,1.392113,9.659158,0.210039,9.761221,88.767036,81.798798
1.3053110,1.435228,9.598728,0.138643,9.706425,89.181580,81.495979
1.3102750,1.435784,9.617988,0.106925,9.725153,89.370041,81.509521
1.3152375,1.422606,9.634919,0.212260,9.741691,88.751488,81.600906
1.3201998,1.415826,9.623905,0.215526,9.729880,88.730743,81.630936
1.3251640,1.401968,9.662193,0.185378,9.765135,88.912247,81.744095
1.3301265,1.395724,9.626127,0.111043,9.727420,89.345924,81.749992
1.3350906,1.347457,9.628608,0.121961,9.723199,89.281303,82.033592
1.3400531,1.380650,9.635178,0.226080,9.736218,88.669441,81.845444
1.3450172,1.401642,9.610958,0.257913,9.716050,88.478905,81.702599
1.3499796,1.393856,9.663735,0.207731,9.765949,88.781174,81.792503
1.3549438,1.402025,9.614309,0.144686,9.717075,89.146843,81.703217
1.3599063,1.346825,9.639908,0.233952,9.736349,88.623123,82.046494
1.3648686,1.385391,9.654035,0.205068,9.755088,88.795456,81.833595
1.3698328,1.383102,9.621827,0.140367,9.721741,89.172707,81.819977
1.3747952,1.350876,9.670180,0.213927,9.766423,88.744873,82.047531
1.3797593,1.397112,9.647541,0.167489,9.749617,89.015663,81.759972
1.3847219,1.399497,9.669357,0.182266,9.771811,88.931244,81.764465
1.3896843,1.391280,9.592953,0.236672,9.696206,88.601349,81.747849
1.3946484,1.361535,9.596975,0.232716,9.695868,88.624680,81.925262
1.3996109,1.333618,9.636346,0.233655,9.730996,88.624115,82.120621
1.4045750,1.416879,9.595184,0.179805,9.700899,88.937973,81.600082
1.4095376,1.350167,9.599494,0.236451,9.696862,88.602745,81.993874
1.4145014,1.306315,9.645022,0.201017,9.735159,88.816841,82.286835
1.4194640,1.344584,9.616081,0.149896,9.710788,89.115547,82.040138
1.4244266,1.368008,9.589659,0.159808,9.688062,89.054840,81.881271
1.4293905,1.415691,9.639898,0.101131,9.743821,89.405319,81.645409
1.4343531,1.357455,9.592437,0.210374,9.690293,88.756027,81.945381
1.4393172,1.351642,9.565516,0.261600,9.664081,88.448853,81.957146
1.4442797,1.351900,9.624634,0.249476,9.722318,88.529625,82.004402
1.4492438,1.292218,9.644629,0.167537,9.732254,89.013626,82.368782
1.4542061,1.342764,9.648240,0.197110,9.743223,88.840797,82.076927
1.4591687,1.405531,9.679432,0.182658,9.782652,88.930130,81.737946
1.4641328,1.390840,9.670114,0.170496,9.771111,89.000198,81.815353
1.4690952,1.385237,9.639104,0.188433,9.739955,88.891464,81.822006
1.4740593,1.421447,9.627037,0.142666,9.732456,89.160088,81.600876
1.4790218,1.357254,9.649140,0.101687,9.744659,89.402100,81.993271
1.4839844,1.315700,9.646872,0.139841,9.737184,89.177116,82.233566
1.4889485,1.411660,9.591277,0.369425,9.701642,87.817726,81.627228
1.4939125,1.398836,9.585541,0.354926,9.693570,87.901672,81.697327
1.4988750,1.319550,9.617603,0.296067,9.712216,88.253128,82.187706
1.5038373,1.272700,9.643720,0.288607,9.731618,88.300552,82.482010
1.5088015,1.300550,9.595846,0.124431,9.684378,89.263802,82.281586
1.5137640,1.387296,9.630849,-0.011645,9.730261,90.068573,81.803093
1.5187265,1.436847,9.671675,0.147023,9.778928,89.138542,81.549812
1.5236906,1.502505,9.644256,0.227890,9.763253,88.662506,81.144913
1.5286531,1.464323,9.701651,0.237390,9.814408,88.613998,81.416824
1.5336171,1.389844,9.674126,0.302254,9.778125,88.228638,81.824486
1.5385797,1.303154,9.591373,0.254073,9.682831,88.496414,82.262749
1.5435438,1.259925,9.598211,0.095998,9.681026,89.431839,82.521736
1.5485061,1.289211,9.550423,0.069901,9.637299,89.584419,82.312119
1.5534687,1.321724,9.570497,0.187859,9.663159,88.886063,82.136963
1.5584327,1.413345,9.586795,0.283311,9.694557,88.325371,81.613510
1.5633953,1.410271,9.633636,0.253881,9.739622,88.506310,81.671608
1.5683594,1.340427,9.650404,0.195980,9.745022,88.847664,82.092293
1.5733218,1.413719,9.631021,0.181413,9.735918,88.932320,81.649300
1.5782859,1.439729,9.682171,0.224576,9.791204,88.685722,81.542152
1.5832484,1.408930,9.553267,0.154981,9.657846,89.080521,81.610413
1.5882109,1.464677,9.600145,0.253575,9.714544,88.504265,81.325378
1.5931751,1.474550,9.646641,0.304562,9.763439,88.212418,81.309242
1.5981374,1.445648,9.636068,0.080196,9.744236,89.528442,81.467857
1.6031015,1.427691,9.695253,0.069413,9.800055,89.594177,81.623016
1.6080639,1.428879,9.619596,0.118139,9.725856,89.304016,81.551155
1.6130280,1.408844,9.629412,0.158937,9.733225,89.064362,81.676323
1.6179906,1.390390,9.613304,0.133664,9.714251,89.211609,81.770279
1.6229531,1.300607,9.553574,0.159645,9.643021,89.051392,82.247513
1.6279172,1.395743,9.627525,0.124623,9.728971,89.266052,81.751060
1.6328797,1.385678,9.574412,0.128425,9.675018,89.239441,81.764923
1.6378436,1.384988,9.604991,0.106350,9.704914,89.372116,81.794807
1.6428062,1.347284,9.636509,0.216943,9.732654,88.722755,82.041046
1.6477703,1.389279,9.599313,0.203392,9.701457,88.798698,81.764938
1.6527327,1.403443,9.602674,0.228771,9.707385,88.649605,81.685020
1.6576953,1.318104,9.636174,0.311055,9.730879,88.168190,82.211021
1.6626593,1.371552,9.637802,0.198374,9.736927,88.832611,81.900642
1.6676219,1.402322,9.625926,0.160440,9.728859,89.055084,81.711357
1.6725860,1.393330,9.679748,0.208985,9.781746,88.775795,81.808952
1.6775484,1.376934,9.650741,0.158582,9.749763,89.068031,81.880043
1.6825125,1.423640,9.643500,0.170055,9.749500,89.000572,81.602257
1.6874748,1.466008,9.602377,0.139908,9.714648,89.174812,81.319603
1.6924374,1.431024,9.651277,0.095318,9.757257,89.440269,81.566032
