Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.4651533,-1.183849,9.588638,-0.530608,9.676003,93.143539,97.038330
0.4675028,-1.193420,9.617352,-0.516252,9.704857,93.049301,97.073692
0.4698519,-1.183849,9.602996,-0.492323,9.688210,92.912842,97.027916
0.4722009,-1.183849,9.598209,-0.497109,9.683710,92.942543,97.031387
0.4745497,-1.198206,9.607781,-0.492323,9.694717,92.910881,97.108772
0.4768992,-1.193420,9.602996,-0.497109,9.689629,92.940750,97.084160
0.4792486,-1.174278,9.593424,-0.516252,9.678803,93.057510,96.978546
0.4815977,-1.198206,9.593424,-0.497109,9.680734,92.943451,97.119301
0.4839472,-1.179063,9.631709,-0.516252,9.717331,93.045380,96.979126
0.4862966,-1.207777,9.598209,-0.511466,9.687412,93.026451,97.172035
0.4886460,-1.193420,9.617352,-0.501895,9.704103,92.964653,97.073692
0.4909953,-1.179063,9.626924,-0.506680,9.712084,92.990486,96.982559
0.4933451,-1.198206,9.617352,-0.501895,9.704693,92.964470,97.101768
0.4956946,-1.231705,9.622138,-0.511466,9.714126,93.018120,97.294617
0.4980445,-1.202992,9.631709,-0.511466,9.720011,93.016289,97.119324
0.5003939,-1.217349,9.636495,-0.501895,9.726041,92.957954,97.199860
0.5027429,-1.222134,9.612567,-0.516252,9.703689,93.049667,97.245667
0.5050923,-1.179063,9.617352,-0.506680,9.702597,92.993408,96.989441
0.5074416,-1.212563,9.626924,-0.535394,9.717747,93.158279,97.178909
0.5097917,-1.207777,9.617352,-0.497109,9.705633,92.935890,97.157913
0.5121412,-1.164706,9.593424,-0.501895,9.676891,92.972992,96.922218
0.5144912,-1.193420,9.626924,-0.521037,9.714597,93.074501,97.066727
0.5168400,-1.174278,9.617352,-0.516252,9.702521,93.050034,96.961349
0.5191897,-1.169492,9.607781,-0.501895,9.691702,92.968445,96.940094
0.5215386,-1.164706,9.607781,-0.497109,9.690879,92.940369,96.911972
0.5238883,-1.179063,9.574282,-0.506680,9.659905,93.006653,97.020569
0.5262378,-1.183849,9.617352,-0.492323,9.702440,92.908562,97.017525
0.5285870,-1.155135,9.602996,-0.492323,9.684743,92.913879,96.859100
0.5309368,-1.202992,9.612567,-0.482752,9.699572,92.852814,97.133354
0.5332858,-1.188635,9.588638,-0.525823,9.676328,93.115051,97.066498
0.5356349,-1.155135,9.617352,-0.521037,9.700479,93.078979,96.848953
0.5379847,-1.155135,9.636495,-0.501895,9.718450,92.960274,96.835480
0.5403340,-1.159921,9.626924,-0.506680,9.709778,92.991196,96.870285
0.5426833,-1.169492,9.641280,-0.497109,9.724666,92.930145,96.916214
0.5450327,-1.188635,9.636495,-0.525823,9.723753,93.099846,97.031754
0.5473822,-1.159921,9.617352,-0.506680,9.700289,92.994125,96.877060
0.5497313,-1.188635,9.607781,-0.521037,9.695040,93.080711,97.052559
0.5520803,-1.150349,9.593424,-0.511466,9.675674,93.030121,96.837700
0.5544292,-1.135993,9.588638,-0.506680,9.668981,93.003830,96.756493
0.5567781,-1.140778,9.598209,-0.492323,9.678295,92.915825,96.777992
0.5591268,-1.126421,9.583853,-0.458824,9.660724,92.722214,96.703407
0.5614758,-1.126421,9.583853,-0.516252,9.663621,93.062325,96.703407
0.5638254,-1.169492,9.588638,-0.521037,9.673737,93.087502,96.953819
0.5661746,-1.169492,9.598209,-0.521037,9.683224,93.084473,96.946953
0.5685237,-1.140778,9.602996,-0.501895,9.683533,92.970955,96.774643
0.5708734,-1.188635,9.602996,-0.487538,9.688554,92.884399,97.056038
0.5732230,-1.145564,9.602996,-0.525823,9.685367,93.112144,96.802803
0.5755725,-1.164706,9.588638,-0.516252,9.672903,93.059380,96.925636
0.5779215,-1.179063,9.598209,-0.482752,9.682400,92.857880,97.003242
0.5802705,-1.188635,9.617352,-0.477966,9.702308,92.823715,97.045609
0.5826193,-1.164706,9.636495,-0.487538,9.718862,92.875397,96.891579
0.5849686,-1.169492,9.593424,-0.506680,9.677717,93.001114,96.950378
0.5873177,-1.179063,9.602996,-0.487538,9.687385,92.884750,96.999786
0.5896672,-1.159921,9.626924,-0.501895,9.709530,92.962990,96.870285
0.5920160,-1.155135,9.641280,-0.497109,9.722949,92.930664,96.832123
0.5943655,-1.183849,9.641280,-0.511466,9.727146,93.014076,97.000282
0.5967150,-1.188635,9.617352,-0.492323,9.703026,92.908386,97.045609
0.5990640,-1.198206,9.660423,-0.506680,9.747625,92.979568,97.070427
0.6014132,-1.188635,9.593424,-0.511466,9.680301,93.028679,97.063011
0.6037621,-1.207777,9.579067,-0.506680,9.668194,93.004074,97.186218
0.6061112,-1.179063,9.607781,-0.497109,9.692615,92.939842,96.996338
0.6084605,-1.188635,9.564711,-0.511466,9.651846,93.037613,97.083992
0.6108099,-1.159921,9.593424,-0.521037,9.677328,93.086357,96.894051
0.6131588,-1.222134,9.593424,-0.535394,9.685765,93.168716,97.259972
0.6155081,-1.202992,9.607781,-0.530608,9.697330,93.136620,97.136871
0.6178574,-1.207777,9.593424,-0.530608,9.683701,93.141037,97.175575
0.6202064,-1.188635,9.602996,-0.544965,9.691613,93.223480,97.056038
0.6225554,-1.183849,9.583853,-0.530608,9.671261,93.145081,97.041809
0.6249053,-1.159921,9.593424,-0.525823,9.677587,93.114647,96.894051
0.6272542,-1.198206,9.612567,-0.506680,9.700199,92.994148,97.105270
0.6296031,-1.179063,9.626924,-0.506680,9.712084,92.990486,96.982559
0.6319528,-1.159921,9.588638,-0.525823,9.672843,93.116173,96.897453
0.6343020,-1.155135,9.579067,-0.506680,9.661759,93.006073,96.876068
0.6366513,-1.207777,9.579067,-0.511466,9.668447,93.032394,97.186218
