Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.6156115,1.246950,9.874050,1.314000,10.038842,82.478882,82.802467
0.6202758,1.261050,9.876000,1.314000,10.042521,82.481651,82.723373
0.6249386,1.290000,9.892950,1.303950,10.061553,82.553680,82.570786
0.6296031,1.288050,9.886050,1.306950,10.054909,82.531487,82.576767
0.6342677,1.309050,9.883051,1.303950,10.054283,82.548264,82.454865
0.6389318,1.285050,9.880951,1.276050,10.045539,82.702202,82.590088
0.6435938,1.294950,9.859051,1.288050,10.026807,82.619354,82.517242
0.6482573,1.261050,9.840000,1.282950,10.003090,82.631210,82.697037
0.6529213,1.276050,9.844951,1.288050,10.010516,82.607277,82.614799
0.6575872,1.278000,9.844951,1.300050,10.012316,82.539360,82.603638
0.6622500,1.278000,9.847051,1.312050,10.015945,82.472839,82.605202
0.6669138,1.276050,9.864000,1.291950,10.029753,82.599068,82.628906
0.6715788,1.294950,9.864000,1.300050,10.033221,82.554993,82.520958
0.6762419,1.291950,9.865951,1.291950,10.033706,82.601997,82.539543
0.6809056,1.291950,9.862050,1.303950,10.031424,82.531189,82.536629
0.6855687,1.306950,9.864000,1.288050,10.033230,82.624100,82.452446
0.6902339,1.306950,9.852000,1.291950,10.021935,82.593262,82.443359
0.6949000,1.303950,9.862050,1.276050,10.029388,82.690384,82.468102
0.6995638,1.318950,9.868951,1.279950,10.038630,82.674706,82.387733
0.7042275,1.300050,9.865951,1.288050,10.034250,82.624855,82.493301
0.7088918,1.309050,9.868951,1.302000,10.040170,82.548950,82.444206
0.7135549,1.314000,9.862050,1.302000,10.034034,82.544373,82.410721
0.7182186,1.297050,9.859051,1.294950,10.027966,82.580452,82.505249
0.7228828,1.285050,9.844951,1.279950,10.010629,82.654106,82.563293
0.7275478,1.309050,9.840000,1.276050,10.008372,82.674950,82.422234
0.7322121,1.321050,9.856951,1.264050,10.025092,82.756371,82.366585
0.7368749,1.321050,9.865951,1.285050,10.036609,82.643867,82.373466
0.7415392,1.309050,9.876000,1.302000,10.047099,82.554123,82.449539
0.7462038,1.309050,9.888000,1.288050,10.057099,82.641708,82.458595
0.7508669,1.288050,9.853951,1.290000,10.021153,82.603920,82.552856
0.7555308,1.266000,9.850051,1.302000,10.016060,82.530914,82.676086
0.7601946,1.249050,9.847051,1.314000,10.012548,82.459015,82.770920
0.7648579,1.266000,9.850051,1.314000,10.017627,82.462860,82.676086
0.7695233,1.246950,9.859051,1.300050,10.022270,82.546814,82.791634
0.7741875,1.245000,9.850051,1.312050,10.014739,82.471931,82.796280
0.7788509,1.254000,9.876000,1.303950,10.040328,82.537849,82.763618
0.7835155,1.267950,9.897000,1.291950,10.061185,82.622314,82.699348
