Keuwl Accelerometer Data File
2024-04-24 17:14:38
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.5707640,-0.546903,9.794162,-0.827743,9.844281,94.823334,93.196060"
"0.5757266,-0.585124,9.753202,-0.798380,9.803303,94.671333,93.433228"
"0.5806891,-0.555474,9.778600,-0.816911,9.828372,94.767792,93.251198"
"0.5856531,-0.620960,9.754648,-0.749423,9.803081,94.384415,93.642410"
"0.5906156,-0.948324,9.826340,-0.574455,9.888694,93.330307,95.512451"
"0.5955812,-0.819736,9.609272,-0.875885,9.683866,95.189377,94.875916"
"0.6005422,-0.558318,9.588568,-0.775903,9.636098,94.618484,93.332428"
"0.6055062,-0.548655,9.746967,-0.813090,9.796199,94.761063,93.221771"
"0.6104687,-0.420182,9.745195,-1.062556,9.811953,96.216866,92.468887"
"0.6154328,-0.462474,9.772058,-0.837185,9.818752,94.891205,92.709564"
"0.6203953,-0.544394,9.672613,-0.973760,9.736735,95.739685,93.221321"
"0.6253594,-0.633812,9.669022,-1.093011,9.751225,96.435783,93.750420"
"0.6303219,-0.638811,9.627191,-1.009012,9.700978,95.970215,93.796288"
"0.6352859,-0.607323,9.610775,-0.955200,9.677202,95.664673,93.615822"
"0.6402484,-0.514907,9.750980,-1.050049,9.820863,96.137810,93.022736"
"0.6452125,-0.408135,9.752704,-1.023215,9.814722,95.984131,92.396339"
"0.6501734,-0.410223,9.740752,-0.912315,9.791979,95.345985,92.411530"
"0.6551390,-0.468086,9.779768,-0.828375,9.825943,94.836052,92.740234"
"0.6600999,-0.452945,9.770738,-0.778767,9.812184,94.552200,92.654175"
"0.6650656,-0.573028,9.722499,-0.783268,9.770817,94.597992,93.373016"
"0.6700265,-0.647718,9.681309,-0.726659,9.730124,94.282921,93.827606"
"0.6749921,-0.704508,9.698385,-0.721699,9.750685,94.244637,94.154770"
"0.6799532,-0.696569,9.751009,-0.687308,9.799989,94.021660,94.086014"
"0.6849172,-0.677224,9.742064,-0.673623,9.788780,93.945976,93.976547"
"0.6898797,-0.683736,9.731999,-0.679992,9.779657,93.987061,94.018799"
"0.6948438,-0.617082,9.780169,-0.738784,9.827426,94.311317,93.610298"
"0.6998063,-0.551940,9.755548,-0.869507,9.809760,95.085197,93.238174"
"0.7047703,-0.528113,9.730036,-0.908322,9.786600,95.325447,93.106773"
"0.7097328,-0.582701,9.688224,-0.935568,9.750718,95.505920,93.441925"
"0.7146969,-0.684828,9.650548,-0.927179,9.719142,95.474182,94.059052"
"0.7196578,-0.966769,9.722260,-1.084525,9.830216,96.334091,95.678749"
"0.7246234,-0.544125,9.534918,-1.136681,9.617836,96.787346,93.266136"
"0.7295843,-0.786984,9.746096,-0.745698,9.806212,94.361176,94.616539"
"0.7345500,-0.598598,9.688511,-1.055354,9.764186,96.204895,93.535492"
"0.7395109,-0.247608,9.648202,-0.753551,9.680752,94.464424,91.470100"
"0.7444765,-0.360528,9.787823,-0.796455,9.826790,94.648888,92.109505"
"0.7494375,-0.387650,9.755998,-1.098833,9.825335,96.421204,92.275421"
"0.7544015,-0.664037,9.793425,-0.921643,9.859083,95.363937,93.878967"
"0.7593640,-0.785317,9.619931,-0.819028,9.686620,94.850288,94.666954"
"0.7643281,-0.835701,9.690770,-0.701041,9.751968,94.122391,94.928810"
"0.7692906,-0.577797,9.714426,-0.883901,9.771653,95.189819,93.403847"
"0.7742546,-0.537795,9.793808,-0.729322,9.835640,94.252441,93.143059"
"0.7792172,-0.447735,9.836329,-0.660158,9.868620,93.835648,92.606216"
"0.7841812,-0.523957,9.813967,-0.660694,9.850126,93.845985,93.056053"
"0.7891422,-0.562561,9.744209,-0.781372,9.791661,94.577049,93.304176"
"0.7941078,-0.711068,9.706964,-0.675021,9.756353,93.967339,94.189629"
"0.7990687,-0.761576,9.625380,-0.636417,9.676413,93.771065,94.523918"
"0.8040344,-0.811625,9.675917,-0.730088,9.737306,94.299980,94.794800"
"0.8089953,-0.728192,9.715326,-0.757276,9.771965,94.444580,94.286469"
"0.8139609,-0.727062,9.727249,-0.831794,9.789784,94.874039,94.274612"
"0.8189218,-0.776804,9.692513,-0.958820,9.770751,95.631592,94.582161"
"0.8238859,-0.670233,9.628100,-0.917650,9.694927,95.431320,93.982056"
"0.8288484,-0.746522,9.705682,-0.989955,9.784557,95.806847,94.398300"
"0.8338125,-0.685221,9.704992,-0.974229,9.777807,95.718254,94.038666"
"0.8387750,-1.081174,9.992325,-0.614639,10.069423,93.499519,96.175400"
"0.8437390,-0.055986,9.516636,-1.244094,9.597774,97.447823,90.337067"
"0.8487015,0.215239,9.324764,-1.119126,9.394147,96.841904,88.677704"
"0.8536656,-0.488005,9.654178,-0.379040,9.673932,92.245514,92.893761"
"0.8586265,-0.269654,9.679087,-1.040214,9.738556,96.131683,91.595818"
"0.8635921,-0.591981,9.825469,-1.028721,9.896895,95.966324,93.447884"
"0.8685531,-0.796599,9.934979,-0.891045,10.006616,95.108704,94.584236"
"0.8735187,-0.278867,9.796920,-1.080685,9.860288,96.292244,91.630470"
"0.8784797,-0.068627,9.670324,-0.961205,9.718220,95.676262,90.406601"
"0.8834438,-0.204082,9.760031,-0.886056,9.802293,95.186203,91.197876"
"0.8884062,-0.024651,9.673447,-0.785020,9.705278,94.639488,90.146004"
"0.8933687,0.103832,9.538787,-0.946246,9.586168,95.664864,89.376350"
"0.8983328,-1.880195,10.550385,-0.141373,10.717544,90.755798,100.104660"
"0.9032953,-1.647738,10.320188,-0.532011,10.464433,92.914169,99.071373"
"0.9082594,-0.451422,9.727574,-1.002280,9.789487,95.876427,92.656982"
"0.9132218,-0.623077,9.715623,-0.631121,9.756017,93.709084,93.669434"
"0.9181859,-0.462311,9.299999,-0.653464,9.334384,94.014336,92.845879"
"0.9231484,-0.659239,9.433317,-0.542660,9.471882,93.284370,93.997566"
"0.9281109,-0.039112,9.521109,-1.089620,9.583335,96.528618,90.235367"
"0.9330750,0.193653,9.837535,-1.077496,9.898262,96.249435,88.872276"
"0.9380375,0.234038,9.813028,-0.763980,9.845505,94.450447,88.633774"
"0.9430015,-0.275266,9.730064,-0.777723,9.764977,94.568108,91.620483"
"0.9479640,-0.766087,9.654216,-1.147340,9.752290,96.756393,94.537064"
"0.9529266,-1.133176,9.515476,-1.217547,9.659752,97.241013,96.791237"
"0.9578906,-1.162854,9.417018,-1.073866,9.549117,96.456978,97.039497"
"0.9628531,-1.052730,9.542253,-0.851780,9.637861,95.070335,96.295586"
"0.9678172,-0.776985,9.604445,-0.718126,9.662545,94.262192,94.625069"
"0.9727797,-0.474636,9.753767,-0.832416,9.800723,94.872238,92.785919"
"0.9777437,-0.297025,9.752656,-0.773509,9.787790,94.532692,91.744446"
"0.9827062,-0.266963,9.764149,-0.625883,9.787829,93.666283,91.566139"
"0.9876687,-0.258411,9.693625,-0.697900,9.722151,94.116493,91.527016"
"0.9926328,-0.320277,9.703719,-0.686647,9.733253,94.045380,91.890396"
"0.9975953,-0.459246,9.727757,-0.816471,9.772758,94.792397,92.702919"
"1.0025593,-0.553281,9.700606,-0.781630,9.747760,94.599236,93.264366"
"1.0075219,-0.578056,9.768410,-0.628076,9.805634,93.672455,93.386589"
"1.0124860,-0.682051,9.707319,-0.715320,9.757506,94.204109,94.019081"
"1.0174484,-0.739483,9.765326,-0.792107,9.825267,94.624168,94.330475"
"1.0224109,-0.750161,9.730955,-0.753781,9.788893,94.416359,94.408218"
