X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
1.366050,10.126051,1.408950,10.314463,82.148880,82.316925,1.060320,9.971490,0.809372,10.060316,85.385452,83.930252,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.463000,9.931050,0.378000,10.238897,87.884270,103.928886,-0.383302,9.791605,-0.568968,9.815608,93.323044,92.241753,-0.824926,9.693923,0.522234,9.742966,86.927414,94.863991
1.396950,10.014001,1.474050,10.217853,81.705444,82.058502,1.012463,10.084252,0.787837,10.165525,85.555069,84.266693,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-2.503950,9.945001,0.474000,10.266328,87.353691,104.132179,-0.261638,10.035612,-0.550848,10.054123,93.140709,91.493416,-0.939781,9.674780,0.469591,9.731652,87.234177,95.548149
1.420950,9.931951,1.512000,10.146373,81.429932,81.858025,1.022034,10.141680,0.809372,10.225131,85.459991,84.245407,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-2.502000,10.044001,0.498000,10.362912,87.245537,103.987915,-0.379385,10.128891,-0.401326,10.143935,92.267387,92.145050,-1.016351,9.665209,0.512662,9.732012,86.980377,96.002914
1.414050,9.811951,1.560000,10.035314,81.057045,81.799278,0.990928,10.201500,0.763909,10.277943,85.737556,84.451950,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-2.461050,10.087050,0.523950,10.396148,87.111153,103.711220,-0.421897,10.069284,-0.451451,10.088225,92.564857,92.399254,-1.097707,9.612567,0.527019,9.689384,86.882065,96.514671
1.348950,9.753000,1.632000,9.980186,80.588501,82.125305,0.952643,10.220643,0.771087,10.293864,85.704094,84.674980,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-2.353050,10.000051,0.579000,10.289466,86.774200,103.241043,-0.418669,9.879703,-0.497544,9.901078,92.880409,92.426552,-1.198206,9.617352,0.512662,9.705256,86.972046,97.101768
1.291950,9.652050,1.656000,9.877933,80.348991,82.376137,0.959821,10.287642,0.806979,10.363785,85.534126,84.669823,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.200050,10.000051,0.636000,10.258934,86.445686,102.407631,-0.470030,9.818563,-0.565884,9.846083,93.294777,92.740746,-1.241277,9.636495,0.498305,9.728880,87.064072,97.339851
1.182000,9.601951,1.677000,9.818703,80.165871,82.982193,0.957428,10.280463,0.771087,10.353703,85.728973,84.679344,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-1.977000,9.984000,0.663000,10.199430,86.272942,101.200638,-0.523660,9.810759,-0.512876,9.838101,92.988274,93.055321,-1.298705,9.617352,0.503091,9.717674,87.032433,97.690567
1.087950,9.535050,1.663050,9.739946,80.168846,83.490700,0.943071,10.278070,0.759123,10.349125,85.793495,84.757469,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-1.798050,9.949950,0.715050,10.136360,85.954819,100.243340,-0.654144,9.576749,-0.271445,9.602901,91.619797,93.907539,-1.375275,9.593424,0.479163,9.703338,87.169510,98.158112
0.997050,9.487050,1.608000,9.673877,80.431839,84.000473,0.957428,10.299606,0.773480,10.372890,85.723633,84.689178,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-1.795050,9.907050,0.664950,10.090293,86.221474,100.269958,-0.618786,9.518196,-0.660541,9.561133,93.961494,93.719612,-1.427917,9.564711,0.426521,9.680112,87.474640,98.490982
0.901950,9.439051,1.548000,9.607574,80.727921,84.541664,0.940678,10.261321,0.780658,10.333877,85.667542,84.762207,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-1.822050,9.877951,0.526050,10.058354,87.002075,100.451096,-0.767303,9.633721,-0.679522,9.688090,94.022026,94.553864,-1.447060,9.550353,0.407378,9.667946,87.585014,98.615860
0.753000,9.420000,1.467000,9.563237,81.175987,85.429703,0.909572,10.223036,0.792623,10.293981,85.583931,84.915627,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.050950,9.850051,0.189000,10.063083,88.923836,101.761909,-0.458777,9.737438,-0.669045,9.771173,93.926193,92.697479,-1.542772,9.622138,0.388235,9.752765,87.718582,99.109032
0.658050,9.415051,1.447950,9.548443,81.277870,86.001907,0.933500,10.172787,0.799801,10.246789,85.523293,84.756973,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-2.329050,9.675000,0.025950,9.951421,89.850594,103.535202,-0.409169,9.378681,-0.662303,9.410936,94.035576,92.498093,-1.566701,9.626924,0.349950,9.759851,87.945152,99.243370
0.592950,9.420000,1.444950,9.548606,81.296234,86.398216,0.986142,10.103395,0.766301,10.180288,85.683090,84.425301,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-2.751000,8.284050,0.130950,8.729870,89.140518,108.370499,-0.602735,9.344665,-0.219271,9.366650,91.341400,93.690491,-1.581058,9.641280,0.297308,9.774580,88.256996,99.312950
0.502050,9.379050,1.447950,9.503430,81.236237,86.935944,0.974178,10.077073,0.811765,10.156544,85.415726,84.478218,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-2.800950,8.406000,0.172050,8.862041,88.887573,108.428505,-0.845613,9.708841,-0.178397,9.747230,91.048706,94.977737,-1.561915,9.674780,0.249452,9.803222,88.541901,99.170815
0.451950,9.376950,1.438050,9.497338,81.291000,87.240593,0.952643,10.043574,0.771087,10.118077,85.629318,84.581650,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-2.751000,9.403951,0.076050,9.798371,89.555298,106.306129,-1.173465,9.872490,-0.282334,9.945993,91.626656,96.778496,-1.537987,9.693923,0.215952,9.817545,88.739586,99.015106
0.388950,9.307051,1.512000,9.437088,80.780396,87.606949,1.029213,10.024133,0.785444,10.107395,85.543060,84.137787,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.997000,10.063050,-0.049950,10.499975,90.272568,106.584702,-1.012632,9.941003,-0.252694,9.995640,91.448616,95.816330,-1.509273,9.722636,0.206381,9.841248,88.798363,98.823761
0.328950,9.268950,1.572000,9.407063,80.380257,87.967461,0.959821,9.990633,0.787837,10.067507,85.511703,84.512314,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-3.342000,10.269000,-0.076050,10.799403,90.403481,108.027245,-0.907939,9.807129,-0.375535,9.856225,92.183571,95.289337,-1.466202,9.727423,0.215952,9.839672,88.742424,98.571594
0.319950,9.214050,1.618050,9.360512,80.045906,88.011253,0.981356,9.942777,0.816551,10.024402,85.327721,84.363136,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-3.612000,10.081950,-0.013950,10.709456,90.074631,109.710777,-0.742710,9.670908,-0.454448,9.710026,92.682533,94.391602,-1.389632,9.684352,0.172881,9.785072,88.987656,98.165771
0.286050,9.142051,1.653000,9.294694,79.755829,88.207832,1.002892,9.949955,0.883550,10.039326,84.950928,84.244392,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-3.547950,9.730050,0.028050,10.356767,89.844818,110.033798,-0.720042,9.579000,-0.422979,9.615333,92.521255,94.298767,-1.255634,9.641280,0.201595,9.724790,88.812172,97.420158
0.238950,9.070050,1.665000,9.224702,79.601486,88.490898,1.002892,9.882956,0.864407,9.971249,85.026787,84.205635,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-3.261000,9.546000,0.114000,10.088272,89.352531,108.860634,-0.777991,9.603555,-0.336922,9.640905,92.002731,94.631462,-1.126421,9.588638,0.091525,9.655008,89.456848,96.700089
0.186000,9.046050,1.669950,9.200780,79.542801,88.822083,1.022034,9.799207,0.871586,9.890838,84.944511,84.045715,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.853000,9.526051,0.225000,9.946651,88.703819,106.672668,-0.875378,9.752340,-0.203976,9.793673,91.193405,95.129166,-0.958924,9.531211,-0.008973,9.579331,90.053673,95.745125
0.178950,9.061050,1.696950,9.220320,79.394562,88.868591,1.000499,9.770494,0.897907,9.862544,84.776436,84.153290,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-2.485050,9.637051,0.334950,9.957932,88.072403,104.459534,-0.878442,9.787765,-0.353844,9.833473,92.062157,95.128502,-0.848854,9.478569,-0.008973,9.516507,90.054024,95.117477
0.205050,9.094050,1.711050,9.255889,79.346992,88.708328,0.990928,9.734302,0.967299,9.832306,84.354134,84.187454,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-2.245050,9.768001,0.403950,10.030816,87.692024,102.943909,-0.869689,9.724174,-0.473410,9.774459,92.776115,95.110695,-0.748355,9.449855,0.005384,9.479443,89.967461,94.527931
0.142950,9.160951,1.692000,9.316991,79.536812,89.106010,1.014856,9.657731,1.022633,9.764603,83.988472,84.001244,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-2.161950,9.804001,0.414000,10.048077,87.638634,102.435677,-0.644912,9.743759,-0.516621,9.778734,93.028404,93.786720,-0.743570,9.445069,0.062812,9.474502,89.620155,94.501366
0.136050,9.204000,1.632000,9.348559,79.946228,89.153137,1.038784,9.607482,1.058525,9.721278,83.748817,83.829018,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-2.254950,9.748950,0.445050,10.016232,87.453346,103.023590,-0.409255,9.675448,-0.508595,9.697446,93.006332,92.422073,-0.757927,9.464211,0.153739,9.495756,89.072327,94.578674
0.139950,9.244950,1.519050,9.369963,80.670082,89.132721,1.022034,9.514162,1.041775,9.625442,83.786629,83.868660,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.427000,9.679951,0.447000,9.989573,87.435349,104.075302,-0.230906,9.645588,-0.485075,9.660538,92.878143,91.371346,-0.887139,9.382855,0.225524,9.427399,88.629234,95.401199
