X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
0.934397,9.637691,1.281955,9.767374,82.458244,84.462341,0.681954,8.843274,4.385745,9.894610,63.688839,85.590332,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.318000,9.631950,-1.447950,10.289808,98.089333,109.007729,0.758895,9.772700,-0.076739,9.802423,90.448547,85.559631,-2.579762,9.701999,-0.393320,10.046823,92.243629,104.890404
0.963111,9.652048,1.320240,9.789415,82.249245,84.301712,0.655633,8.893523,4.397709,9.943061,63.749966,85.783760,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.289050,9.615001,-1.471950,10.268044,98.241890,108.884529,0.944915,9.795330,-0.220985,9.843282,91.286415,84.489960,-2.567798,9.694820,-0.364606,10.035739,92.082062,104.834885
0.979861,9.640084,1.296312,9.776082,82.380119,84.196136,0.681954,8.907881,4.402494,9.959787,63.766720,85.622185,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.262950,9.562051,-1.470000,10.209826,98.278152,108.841675,0.998200,9.835151,-0.406507,9.894031,92.354721,84.204720,-2.591726,9.699606,-0.374178,10.046860,92.134377,104.959892
0.991825,9.604192,1.339383,9.747726,82.102310,84.103966,0.674776,8.910274,4.409673,9.964613,63.734371,85.669250,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.253050,9.511950,-1.477050,10.160769,98.358589,108.880486,1.007854,9.795771,-0.632251,9.867758,93.673599,84.125702,-2.606083,9.742975,-0.414856,10.094025,92.355469,104.975090
1.018146,9.630513,1.372882,9.781013,81.931206,83.965057,0.643669,8.871988,4.359424,9.906112,63.891388,85.850418,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.250950,9.438001,-1.471950,10.090152,98.388237,109.006439,0.932379,9.734958,-0.444402,9.789598,92.601852,84.529106,-2.606083,9.747761,-0.493819,10.102196,92.801865,104.968071
1.006182,9.680762,1.358525,9.827266,82.053963,84.066200,0.660419,8.795418,4.359424,9.838704,63.698849,85.705910,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.298950,9.394951,-1.431000,10.059619,98.178177,109.348251,0.840087,9.703518,-0.258698,9.743251,91.521469,85.051926,-2.577369,9.738190,-0.551546,10.088576,93.133942,104.824348
1.001396,9.738190,1.372882,9.885340,82.016922,84.128807,0.662812,8.776276,4.361816,9.822819,63.637466,85.681046,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.304050,9.390000,-1.450050,10.059399,98.287987,109.385391,0.784216,9.783138,-0.268907,9.818203,91.569450,85.416969,-2.551048,9.723534,-0.568295,10.068660,93.235611,104.700699
0.991825,9.766904,1.372882,9.912665,82.039070,84.201515,0.662812,8.721240,4.313960,9.752415,63.746220,85.653893,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.294000,9.391951,-1.443000,10.056910,98.249466,109.327087,0.525882,9.700137,-0.371465,9.721481,92.189850,86.896812,-2.536691,9.670892,-0.551546,10.013248,93.157539,104.697670
0.982254,9.786046,1.360918,9.928928,82.121902,84.268257,0.701097,8.639585,4.316353,9.683227,63.528305,85.360649,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.292050,9.415951,-1.467000,10.082153,98.366501,109.270897,0.524445,9.583941,-0.302541,9.603046,91.805382,86.867828,-2.505584,9.618250,-0.553938,9.954674,93.189934,104.601219
1.006182,9.790833,1.344168,9.933761,82.223274,84.132439,0.669990,8.618050,4.345067,9.674672,63.312904,85.554611,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.349050,9.366000,-1.471950,10.055085,98.417702,109.675797,0.636034,9.482868,-0.251899,9.507512,91.518211,86.162811,-2.491227,9.608679,-0.520140,9.939993,92.999542,104.534950
1.030110,9.769297,1.339383,9.914345,82.235863,83.980766,0.705883,8.610871,4.342674,9.669756,63.314137,85.313614,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.301050,9.285001,-1.471950,9.963675,98.495499,109.571571,0.676937,9.414680,-0.490869,9.451741,92.976952,85.887383,-2.515156,9.582357,-0.491426,9.919127,92.839783,104.707115
1.046860,9.762118,1.310669,9.905187,82.396240,83.879166,0.705883,8.579764,4.407280,9.671336,62.889668,85.296700,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.238950,9.262951,-1.405050,9.912983,98.148453,109.273056,0.721689,9.580177,-0.379864,9.614829,92.264236,85.691963,-2.510370,9.591928,-0.469891,9.926119,92.713326,104.666321
1.109073,9.757333,1.298705,9.905665,82.466423,83.515274,0.684347,8.644371,4.421637,9.733671,62.982540,85.473518,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.193050,9.268050,-1.462050,9.911100,98.483025,109.009972,0.682731,9.598392,-0.289641,9.627001,91.724075,85.931419,-2.534298,9.613464,-0.426820,9.951057,92.458282,104.768303
1.109073,9.774082,1.274776,9.919062,82.616051,83.526291,0.705883,8.675478,4.368995,9.739112,63.345909,85.348358,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.172050,9.280050,-1.467000,9.916316,98.507454,108.871140,0.615224,9.662865,-0.268275,9.686146,91.587112,86.356956,-2.529513,9.615857,-0.400499,9.951057,92.306595,104.738121
1.101895,9.766904,1.262812,9.909656,82.678749,83.563148,0.689133,8.639585,4.388138,9.714581,63.146786,85.439484,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.232050,9.316051,-1.479000,9.971077,98.530106,109.133377,0.531618,9.714828,-0.284853,9.733532,91.677002,86.867767,-2.572583,9.608679,-0.388535,9.954690,92.236839,104.988571
1.051646,9.786046,1.241277,9.920354,82.812073,83.866318,0.696311,8.656335,4.416852,9.742975,63.042011,85.401054,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.274950,9.349051,-1.516950,10.021536,98.706268,109.305237,0.562484,9.719128,-0.429194,9.744846,92.524307,86.687759,-2.613261,9.627821,-0.359821,9.982662,92.065651,105.185814
