Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3496439,0.911965,9.768100,0.972084,9.858621,84.341301,84.666237
0.3521680,0.931107,9.727123,0.950549,9.817710,84.443932,84.532150
0.3546837,0.928714,9.703195,0.972084,9.795889,84.304947,84.532745
0.3571995,0.926321,9.729516,0.993620,9.823891,84.194992,84.561417
0.3597152,0.940678,9.746265,0.976870,9.840165,84.302650,84.487068
0.3622310,0.947857,9.681660,1.017847,9.781052,84.026810,84.408432
0.3647467,0.945464,9.657731,1.032204,9.758643,83.928276,84.408722
0.3672625,0.926321,9.674481,1.005584,9.770612,84.092705,84.530663
0.3697782,0.904786,9.691231,0.972084,9.781796,84.296715,84.666252
0.3722928,0.895215,9.712767,0.981655,9.803208,84.252991,84.733994
0.3748084,0.911965,9.729516,1.012762,9.824503,84.083138,84.645210
0.3773242,0.919143,9.719945,0.986441,9.813013,84.230667,84.598030
0.3798399,0.957428,9.700802,0.957727,9.794869,84.388741,84.363403
0.3823556,0.923929,9.705587,0.991227,9.799725,84.194695,84.562088
0.3848713,0.892822,9.703195,0.981655,9.793507,84.247276,84.742836
0.3873870,0.909572,9.672089,0.981655,9.764235,84.229973,84.627655
0.3899027,0.933500,9.722338,0.988834,9.816978,84.218971,84.515503
0.3924217,0.921536,9.719945,0.993620,9.813962,84.189102,84.584045
0.3949374,0.900000,9.734302,0.984048,9.825222,84.251884,84.717644
0.3974532,0.909572,9.715159,1.007977,9.809570,84.102196,84.651337
0.3999690,0.895215,9.712767,0.991227,9.804172,84.197334,84.733994
0.4024848,0.926321,9.719945,1.010369,9.816122,84.092102,84.556091
0.4050006,0.945464,9.777672,1.017847,9.875869,84.084358,84.476883
0.4075164,0.943071,9.743873,1.017847,9.842176,84.064041,84.471786
0.4100322,0.926321,9.710373,0.993620,9.804933,84.183731,84.550758
0.4125423,0.959821,9.705587,0.981655,9.802211,84.252403,84.352173
0.4150580,0.962214,9.705587,0.957727,9.800077,84.391731,84.338188
0.4175736,0.955035,9.741480,0.969691,9.836098,84.342308,84.400726
0.4200893,0.969392,9.739087,0.967299,9.834897,84.355621,84.315712
0.4226049,0.959821,9.705587,1.003191,9.804391,84.127182,84.352173
0.4251206,0.976571,9.705587,1.000798,9.805799,84.142090,84.254272
0.4276363,0.976571,9.686445,1.027418,9.789612,83.975723,84.242989
0.4301518,0.983749,9.717552,0.993620,9.817631,84.191284,84.219398
0.4326615,1.005285,9.753445,0.981655,9.854133,84.282791,84.115318
0.4351770,1.002892,9.719945,0.938585,9.816520,84.513412,84.109138
0.4376924,0.995713,9.693624,0.991227,9.794912,84.191833,84.135239
0.4402080,1.010070,9.688838,1.012762,9.793851,84.064552,84.048363
0.4427234,0.988535,9.662517,0.986441,9.762915,84.200958,84.158615
0.4452389,1.002892,9.731909,0.938585,9.828366,84.520042,84.116333
0.4477544,0.983749,9.717552,0.967299,9.815001,84.344147,84.219398
0.4502699,0.971785,9.684052,0.988834,9.782792,84.198700,84.269608
0.4527825,0.976571,9.703195,0.984048,9.801736,84.238068,84.252861
0.4552979,0.971785,9.693624,0.938585,9.787321,84.496994,84.275230
0.4578134,1.033998,9.712767,0.938585,9.812641,84.511238,83.923309
0.4603288,0.962214,9.674481,0.929013,9.766500,84.541634,84.320099
0.4628442,0.959821,9.703195,0.938585,9.795621,84.501671,84.350792
0.4653596,0.950250,9.719945,0.917049,9.809245,84.635681,84.416344
0.4678750,0.998106,9.681660,0.933799,9.777665,84.519714,84.114029
0.4703905,0.981356,9.724730,0.926621,9.817946,84.584351,84.237595
0.4729075,0.995713,9.741480,0.909871,9.834416,84.691460,84.163849
0.4754230,0.971785,9.681660,0.929013,9.774557,84.546143,84.268204
0.4779385,0.966999,9.717552,0.921835,9.808960,84.607452,84.317169
0.4804539,0.957428,9.722338,0.972084,9.817610,84.317581,84.375809
0.4829694,0.938286,9.729516,0.964906,9.822165,84.362305,84.491600
0.4854849,0.955035,9.703195,0.955334,9.796772,84.403893,84.378777
0.4880003,0.931107,9.768100,0.924228,9.855806,84.619186,84.554947
0.4905158,0.952643,9.710373,0.943370,9.802490,84.477432,84.396889
0.4930429,0.928714,9.722338,0.945763,9.812280,84.468918,84.543449
0.4955586,0.950250,9.743873,0.957727,9.836833,84.412758,84.429970
0.4980744,0.959821,9.729516,0.955334,9.823309,84.419060,84.365974
0.5005901,0.904786,9.729516,0.964906,9.819020,84.360497,84.687119
0.5031059,0.931107,9.772886,0.969691,9.864916,84.358887,84.557602
0.5056216,0.952643,9.712767,0.988834,9.809340,84.214455,84.398262
0.5081374,0.943071,9.691231,0.929013,9.781227,84.549873,84.441940
0.5106531,0.943071,9.736694,0.962513,9.829497,84.380547,84.467735
0.5131762,0.935893,9.751051,0.940978,9.840951,84.513077,84.517624
0.5156921,0.911965,9.739087,0.926621,9.825483,84.588516,84.650444
0.5182080,0.916750,9.715159,0.972084,9.806615,84.311195,84.609367
0.5207240,0.928714,9.715159,0.988834,9.809415,84.214493,84.539444
0.5232399,0.890429,9.705587,0.976870,9.795180,84.276398,84.758133
0.5257559,0.916750,9.691231,0.936192,9.779409,84.506607,84.596138
0.5282717,0.919143,9.681660,0.967299,9.773179,84.319862,84.576790
0.5307877,0.926321,9.691231,0.979263,9.784528,84.256065,84.540054
0.5332971,0.938286,9.688838,0.974477,9.782820,84.283226,84.468613
0.5358129,0.897608,9.727123,0.981655,9.817651,84.261475,84.727745
0.5383287,0.919143,9.722338,0.931406,9.810004,84.551872,84.599350
0.5408444,0.911965,9.684052,0.972084,9.775352,84.292938,84.620216
0.5433602,0.919143,9.688838,1.007977,9.784397,84.086967,84.580788
0.5458760,0.955035,9.712767,0.936192,9.804406,84.520660,84.384285
0.5483917,0.919143,9.672089,0.981655,9.765130,84.230507,84.571457
0.5509075,0.911965,9.672089,0.964906,9.762788,84.327911,84.613602
0.5534337,0.964607,9.686445,0.964906,9.782062,84.339119,84.313057
0.5559497,0.952643,9.691231,0.962513,9.785393,84.355133,84.385895
0.5584658,0.933500,9.724730,1.003191,9.820805,84.137032,84.516846
0.5609818,0.969392,9.691231,1.005584,9.791368,84.105270,84.287834
0.5634978,0.935893,9.696016,0.976870,9.789939,84.273323,84.486694
