X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-0.68895,9.34305,2.13195,9.607937,77.179657,94.217316,0.166899,9.602696,1.403391,9.70614,81.686584,89.004272,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.42795,9.505051,1.824,10.26761,79.767319,109.831589,-0.111905,9.910913,-0.139151,9.912521,90.804337,90.646904,-1.772483,9.579067,-0.410967,9.75034,92.41568,100.483276
-0.70095,9.34305,2.10405,9.602653,77.343155,94.290504,0.123829,9.605089,1.405783,9.708208,81.674095,89.261383,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.414,9.47805,1.75905,10.226587,80.095436,109.809052,0.014308,9.919694,-0.170438,9.921168,90.984344,89.917358,-1.719841,9.574282,-0.387039,9.735221,92.278488,100.183517
-0.71595,9.264001,2.09895,9.525749,77.270706,94.419205,0.157328,9.571589,1.374677,9.671081,81.828125,89.058311,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.363,9.43095,1.74705,10.163896,80.102402,109.625824,0.275439,10.22305,-0.496701,10.238815,92.780602,88.456657,-1.6337,9.574282,-0.377468,9.719996,92.225594,99.683357
-0.77805,9.168,2.11095,9.440005,77.078407,94.85083,0.126221,9.581161,1.34357,9.67573,82.018127,89.245232,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.29895,9.391951,1.79805,10.115572,79.76123,109.353973,-0.003591,9.970749,-0.772609,10.000639,94.430855,90.020638,-1.609771,9.550353,-0.363111,9.691875,92.147118,99.567627
-0.831,9.204,2.178,9.494623,76.738663,95.159065,0.123829,9.636196,1.391426,9.736923,81.784187,89.263771,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.249,9.346951,1.79505,10.057022,79.718338,109.16745,-0.420221,9.856287,-0.628698,9.885254,93.646446,92.441315,-1.494916,9.555139,-0.372682,9.678551,92.206779,98.89193
-0.792,9.252001,2.319,9.571027,75.978043,94.892769,0.202792,9.600304,1.355534,9.697651,81.964905,88.789894,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.16005,9.31995,1.78995,10.002565,79.691444,108.729897,-0.515558,9.728379,-0.323935,9.747415,91.904457,93.033569,-1.432703,9.564711,-0.367896,9.678412,92.178459,98.519028
-0.711,9.336,2.39595,9.66473,75.646332,94.355057,0.219541,9.607482,1.355534,9.705121,81.97113,88.690956,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.081,9.30795,1.75005,9.959577,79.879715,108.314926,-0.783641,9.307104,-0.326646,9.345746,92.002968,94.812851,-1.427917,9.559925,-0.367896,9.672976,92.17968,98.495171
-0.64605,9.361951,2.343,9.672288,75.981308,93.947609,0.214756,9.593125,1.353141,9.690468,81.973198,88.717567,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.01605,9.340051,1.73505,9.967121,79.975029,107.896088,-0.815762,9.402317,-0.418028,9.446893,92.536179,94.958664,-1.442274,9.52164,-0.391825,9.638222,92.329903,98.613304
-0.63405,9.445951,2.223,9.724697,76.785736,93.840164,0.22672,9.626625,1.341177,9.722246,82.070801,88.650856,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.009,9.39,1.74705,10.013908,79.952629,107.767914,-0.652755,9.485674,-0.48948,9.520699,92.946999,93.936592,-1.432703,9.52164,-0.363111,9.635669,92.159645,98.556992
-0.63,9.468,2.14905,9.729252,77.238953,93.806847,0.219541,9.655338,1.286142,9.743095,82.414505,88.697441,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.02595,9.394951,1.71105,10.017443,80.165253,107.852844,-0.396786,9.748183,-0.601883,9.774803,93.53022,92.330856,-1.451845,9.535996,-0.391825,9.653839,92.326126,98.656746
-0.67005,9.489,2.07,9.735245,77.723511,94.039139,0.24347,9.638589,1.264308,9.724204,82.529449,88.553024,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.04995,9.415951,1.68705,10.040341,80.326866,107.947823,-0.168332,9.68265,-0.521074,9.698121,93.079948,90.995979,-1.451845,9.564711,-0.391825,9.682204,92.319313,98.631149
-0.711,9.48,2.06805,9.728965,77.727211,94.289154,0.276969,9.657731,1.269093,9.744695,82.516869,88.357292,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.081,9.414001,1.69905,10.050012,80.266861,108.122162,-0.039629,9.686739,-0.307578,9.691702,91.818657,90.234398,-1.437488,9.569496,-0.420539,9.685994,92.488403,98.542847
-0.75705,9.439051,2.07495,9.694031,77.640549,94.585541,0.257827,9.617053,1.261915,9.702918,82.527222,88.46431,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.08295,9.42105,1.707,10.058559,80.229263,108.120201,-0.065113,9.832277,-0.262855,9.836006,91.531342,90.379425,-1.44706,9.583853,-0.406182,9.70099,92.399681,98.586197
-0.807,9.42,2.11305,9.687757,77.401627,94.896507,0.219541,9.650553,1.273879,9.736741,82.482315,88.6968,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.08595,9.447001,1.72605,10.087029,80.147301,108.090103,-0.068723,9.827738,-0.244438,9.831017,91.424751,90.40065,-1.466202,9.607781,-0.420539,9.728106,92.477623,98.67672
-0.81195,9.427051,2.12805,9.698306,77.324745,94.922722,0.202792,9.645767,1.259522,9.729766,82.562164,88.795593,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.12405,9.411,1.76595,10.072001,79.901985,108.36396,-0.002193,9.844009,-0.201362,9.846069,91.171837,90.012764,-1.456631,9.593424,-0.425324,9.712696,92.509819,98.633636
-0.85905,9.429001,2.13495,9.705773,77.2929,95.205688,0.190828,9.576375,1.271486,9.6623,82.438377,88.858421,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.186,9.38805,1.81695,10.079057,79.614525,108.745544,-0.068666,9.767653,-0.300626,9.77252,91.762833,90.402779,-1.461416,9.631709,-0.434896,9.751651,92.556076,98.627663
-0.864,9.40095,2.166,9.685863,77.077972,95.251053,0.095115,9.545269,1.322034,9.636855,82.114998,89.429092,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.25605,9.373051,1.824,10.088752,79.583908,109.156418,-0.184928,9.678168,-0.582662,9.697454,93.444641,91.094658,-1.504487,9.650852,-0.39661,9.775466,92.325241,98.860619
