X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
0.218943,9.333803,1.648057,9.480712,79.989273,88.656258,-0.388834,9.241081,3.171387,9.777856,71.074173,92.409393,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-4.182000,9.306001,-0.001950,10.202489,90.010948,114.198555,-0.942683,9.945734,-0.510827,10.003360,92.927109,95.414474,-1.275823,10.527224,-0.903291,10.642654,94.868813,96.910133
0.233300,9.295518,1.588236,9.433110,80.307045,88.562286,-0.393619,9.257831,3.142374,9.784523,71.267052,92.434601,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-4.158000,9.253051,0.031050,10.144402,89.824631,114.197495,-0.819861,9.707855,-0.710666,9.768299,94.172081,94.827362,-1.211067,10.537991,-0.981057,10.652624,95.284164,96.555893
0.259621,9.345767,1.521237,9.472324,80.758385,88.408760,-0.376870,9.269794,3.176173,9.806080,71.101158,92.328117,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-4.084050,9.196051,0.016050,10.062160,89.908607,113.946442,-0.706941,9.573714,-0.816969,9.634480,94.864311,94.223160,-1.205085,10.540383,-0.943969,10.650962,95.084656,96.522324
0.271585,9.446265,1.456631,9.561770,81.237495,88.353165,-0.393619,9.262616,3.185744,9.803059,71.035973,92.433350,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-4.003050,9.138000,-0.031050,9.976394,90.178322,113.656609,-0.607581,9.614032,-0.844971,9.670198,95.012833,93.616135,-1.191925,10.521241,-0.965504,10.632469,95.210045,96.463341
0.271585,9.561121,1.384846,9.664709,81.761787,88.372940,-0.427119,9.286545,3.197708,9.830956,71.018105,92.633369,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.873000,9.105000,-0.069000,9.894742,90.399551,113.043480,-0.546558,9.684728,-0.838124,9.736279,94.938278,93.230064,-1.193121,10.549955,-0.978664,10.662217,95.266479,96.452309
0.250050,9.659226,1.348954,9.756170,82.052437,88.517105,-0.422333,9.324830,3.204887,9.869251,71.050507,92.593224,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.747000,9.103050,-0.061950,9.844255,90.360565,112.373062,-0.540774,9.736108,-0.847691,9.787891,94.968391,93.179115,-1.190728,10.546366,-0.857677,10.647970,94.620094,96.441650
0.185444,9.745368,1.313061,9.835177,82.327728,88.909859,-0.463011,9.334401,3.207280,9.880894,71.059013,92.839699,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-3.628950,9.138000,-0.034950,9.832271,90.203667,111.659378,-0.500647,9.781234,-0.961368,9.841108,95.606110,92.930092,-1.227967,10.549955,-0.793071,10.650747,94.270287,96.639091
0.125623,9.826724,1.325026,9.916450,82.321236,89.267578,-0.436690,9.317652,3.166602,9.850720,71.248825,92.683319,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-3.532950,9.198001,-0.013950,9.853180,90.081116,111.011772,-0.599757,9.741987,-0.968790,9.808393,95.668434,93.522919,-1.255484,10.573883,-0.845713,10.681688,94.541092,96.771278
0.065803,9.860224,1.332204,9.950030,82.305595,89.617638,-0.455833,9.250652,3.176173,9.791345,71.071632,92.821007,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.505050,9.253051,-0.019050,9.894680,90.110313,110.746658,-0.741695,9.666206,-1.018264,9.747950,95.996010,94.387749,-1.278216,10.559526,-0.876820,10.672688,94.712471,96.901993
-0.001196,9.869795,1.382453,9.966145,82.026505,90.006943,-0.492024,9.224032,3.171387,9.766399,71.051125,93.053352,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.469050,9.301050,-0.033000,9.926980,90.190468,110.454208,-0.818549,9.625132,-1.020256,9.713604,96.029106,94.860901,-1.296162,10.533205,-0.842124,10.646014,94.536964,97.015259
