X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-0.688950,9.343050,2.131950,9.607937,77.179657,94.217316,0.166899,9.602696,1.403391,9.706140,81.686584,89.004272,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.427950,9.505051,1.824000,10.267610,79.767319,109.831589,-0.111905,9.910913,-0.139151,9.912521,90.804337,90.646904,-1.772483,9.579067,-0.410967,9.750340,92.415680,100.483276
-0.700950,9.343050,2.104050,9.602653,77.343155,94.290504,0.123829,9.605089,1.405783,9.708208,81.674095,89.261383,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.414000,9.478050,1.759050,10.226587,80.095436,109.809052,0.014308,9.919694,-0.170438,9.921168,90.984344,89.917358,-1.719841,9.574282,-0.387039,9.735221,92.278488,100.183517
-0.715950,9.264001,2.098950,9.525749,77.270706,94.419205,0.157328,9.571589,1.374677,9.671081,81.828125,89.058311,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.363000,9.430950,1.747050,10.163896,80.102402,109.625824,0.275439,10.223050,-0.496701,10.238815,92.780602,88.456657,-1.633700,9.574282,-0.377468,9.719996,92.225594,99.683357
-0.778050,9.168000,2.110950,9.440005,77.078407,94.850830,0.126221,9.581161,1.343570,9.675730,82.018127,89.245232,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.298950,9.391951,1.798050,10.115572,79.761230,109.353973,-0.003591,9.970749,-0.772609,10.000639,94.430855,90.020638,-1.609771,9.550353,-0.363111,9.691875,92.147118,99.567627
-0.831000,9.204000,2.178000,9.494623,76.738663,95.159065,0.123829,9.636196,1.391426,9.736923,81.784187,89.263771,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.249000,9.346951,1.795050,10.057022,79.718338,109.167450,-0.420221,9.856287,-0.628698,9.885254,93.646446,92.441315,-1.494916,9.555139,-0.372682,9.678551,92.206779,98.891930
-0.792000,9.252001,2.319000,9.571027,75.978043,94.892769,0.202792,9.600304,1.355534,9.697651,81.964905,88.789894,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.160050,9.319950,1.789950,10.002565,79.691444,108.729897,-0.515558,9.728379,-0.323935,9.747415,91.904457,93.033569,-1.432703,9.564711,-0.367896,9.678412,92.178459,98.519028
-0.711000,9.336000,2.395950,9.664730,75.646332,94.355057,0.219541,9.607482,1.355534,9.705121,81.971130,88.690956,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.081000,9.307950,1.750050,9.959577,79.879715,108.314926,-0.783641,9.307104,-0.326646,9.345746,92.002968,94.812851,-1.427917,9.559925,-0.367896,9.672976,92.179680,98.495171
-0.646050,9.361951,2.343000,9.672288,75.981308,93.947609,0.214756,9.593125,1.353141,9.690468,81.973198,88.717567,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.016050,9.340051,1.735050,9.967121,79.975029,107.896088,-0.815762,9.402317,-0.418028,9.446893,92.536179,94.958664,-1.442274,9.521640,-0.391825,9.638222,92.329903,98.613304
-0.634050,9.445951,2.223000,9.724697,76.785736,93.840164,0.226720,9.626625,1.341177,9.722246,82.070801,88.650856,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.009000,9.390000,1.747050,10.013908,79.952629,107.767914,-0.652755,9.485674,-0.489480,9.520699,92.946999,93.936592,-1.432703,9.521640,-0.363111,9.635669,92.159645,98.556992
-0.630000,9.468000,2.149050,9.729252,77.238953,93.806847,0.219541,9.655338,1.286142,9.743095,82.414505,88.697441,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.025950,9.394951,1.711050,10.017443,80.165253,107.852844,-0.396786,9.748183,-0.601883,9.774803,93.530220,92.330856,-1.451845,9.535996,-0.391825,9.653839,92.326126,98.656746
